timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/25 06:39:45.665, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.35 W
2026/09/25 06:39:45.865, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.35 W
2026/09/25 06:39:46.066, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.44 W
2026/09/25 06:39:46.266, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.44 W
2026/09/25 06:39:46.466, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.44 W
2026/09/25 06:39:46.666, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.44 W
2026/09/25 06:39:46.867, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.44 W
2026/09/25 06:39:47.067, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.42 W
2026/09/25 06:39:47.267, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.42 W
2026/09/25 06:39:47.468, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.42 W
2026/09/25 06:39:47.668, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.42 W
2026/09/25 06:39:47.868, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.42 W
2026/09/25 06:39:48.069, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.38 W
2026/09/25 06:39:48.269, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.38 W
2026/09/25 06:39:48.469, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.38 W
2026/09/25 06:39:48.669, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.38 W
2026/09/25 06:39:48.870, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.38 W
2026/09/25 06:39:49.070, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.41 W
2026/09/25 06:39:49.270, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.41 W
2026/09/25 06:39:49.471, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.41 W
2026/09/25 06:39:49.671, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.41 W
2026/09/25 06:39:49.871, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.41 W
2026/09/25 06:39:50.071, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.35 W
2026/09/25 06:39:50.272, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.35 W
2026/09/25 06:39:50.472, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.35 W
2026/09/25 06:39:50.672, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.35 W
2026/09/25 06:39:50.873, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.35 W
2026/09/25 06:39:51.073, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.27 W
2026/09/25 06:39:51.273, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.27 W
2026/09/25 06:39:51.474, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.27 W
2026/09/25 06:39:51.674, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.27 W
2026/09/25 06:39:51.874, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.27 W
2026/09/25 06:39:52.074, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.25 W
2026/09/25 06:39:52.275, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.25 W
2026/09/25 06:39:52.475, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.25 W
2026/09/25 06:39:52.675, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.25 W
